r0c8|X.2|apparatus|||0|high|sheet copyright line not content
r0c9|II.4|Loughran||computer science|0|med|pointer to his own Toward Computational Natural Law
r1c7|X.2|apparatus|||0|high|column header for a wordcount tally
r2c3|X.2|apparatus|||0|high|in-sheet label for the populated-cell count
r2c6|X.2|apparatus|||0|high|in-sheet note on how merged cells are counted
r3c27|X.1|apparatus|||0|high|subtotal wordcount bookkeeping line
r7c3|I.2|Loughran|MacIntyre||1|high|note-to-self to resurrect a revolutionary version of M's account
r8c4|I.1|Loughran|||0|med|statement of what is at stake and our duty to attempt it
r9c3|I.4|Loughran||physics;sociology|1|med|to-do open with LHC SSC QuarkNet as proof big changes are possible
r10c3|I.4|Loughran||physics|1|med|to-do highlight LIGO as huge investment in the best account we have
r11c3|I.4.2|Loughran|||1|med|to-do find ways to illustrate the usefulness of multiple perspectives
r12c4|I.2.3|Loughran|||0|med|BOSCO example of competing narratives with opposite implications
r13c4|I.2.2|Loughran|Kuhn||0|med|Kuhn's method take the craziest part seriously then reimagine the rest
r14c4|I.4.3|Loughran||sociology|0|med|People of Praise stance of standing with the excluded
r15c3|III.3|Loughran|||0|med|thesis that to love is to be free
r15c4|III.4|Loughran|||0|high|love is personal
r15c5|III.3|Loughran|||0|med|inclination is reactive - a natural law inclination claim
r15c6|III.4|Loughran|||0|med|inclination toward a person known as person is mutuality
r16c3|III.3|Loughran|||0|med|converse thesis that to be free is to love
r16c4|III.3|Loughran|Augustine|theology|0|med|freedom as apprehending all and responding as you will
r17c3|III.4|Loughran||theology|0|high|long meditation on love as given input and as our own output
r17c10|III.4|Jacqui Lewis||theology|0|high|QUOTED CAC newsletter passage on shedding religion that wounds
r17c13|III.3|Loughran|MacIntyre|philosophy|0|med|footnote flagging expressivist creation against M on expressivism
r18c3|III.1|Loughran||theology|0|high|love dynamic restated on a fundamental consciousness limited-perspective view
r19c3|III.3|Loughran|||1|med|note to try showing that an expressivist good reveals freedom
r19c4|III.3|Loughran|||0|med|love as informed stable freedom choosing and making the good
r20c3|III.3|Loughran||physics|0|med|analogy of forces uniting at high energy applied to love and freedom
r20c5|III.3|Loughran|||0|med|truth will set you free
r20c6|III.1.3|Loughran|||0|med|claim that freedom leads to and ultimately creates truth
r21c3|III.4|Loughran|||0|med|asks whether love is the propagation of creative agency
r21c4|III.4|Loughran||theology|0|med|on that model to love is to breathe God
r21c5|III.4|Loughran||sociology|0|high|to be loved is to be personally authorized as an acting person
r21c7|III.4|Loughran|||0|high|to love another is to empower them personally as the whole point
r22c3|III.3|Loughran|||0|med|full freedom is love and fully love
r23c3|III.2.S|Loughran||physics|0|med|emergent properties and nonlocality after Bell's theorem
r23c4|III.2.S|Loughran|Cronin;Walker|physics;chemistry|0|med|later note on assembly theory crawling from the possible to the actual
r24c3|III.1.3|Loughran|||0|high|truth is a stable enduring relationship
r24c4|II.4|Loughran|MacIntyre;Aquinas||0|high|IDNL p.21 citation heading the truth passage
r24c5|III.1.3|MacIntyre|MacIntyre;Aquinas|philosophy|0|high|QUOTED definition of truth as an achieved relation of intellect to object
r24c7|III.1.3|Loughran|Aquinas;MacIntyre|theology|0|high|argues truth is a maximally stable relation with knowers as co-creators
r24c10|III.1.3|Loughran|Aquinas|theology|0|high|Ia Q14 house passage read as truth negotiated with created knowers
r25c4|III.1.3|Loughran|||0|med|fragment naming the relation between intellect and object
r25c5|III.1.3|Loughran|||0|med|asks what intellect means - language community humankind
r26c5|III.1.3|Loughran|||0|high|truth as negotiated settlement - a peace-building account
r26c6|III.1.3|Loughran||psychology|0|med|calls for a realistic account of intellect and passions in any account of truth
r27c3|I.4.2|Loughran|||0|med|rhetoric or reasons from different perspectives
r27c4|I.4.2|Loughran||sociology|0|med|asks for a place for respect for truth across tradition boundaries
r27c5|I.4.2|MacIntyre|MacIntyre||0|high|QUOTED IDM p22 on intellectual and moral asceticism in rhetoric
r27c7|I.4.2|MacIntyre|MacIntyre||0|high|QUOTED IDM p23 on no deceptive or misleading speech in shared enquiry
r27c8|I.4.2|Loughran|Plato|psychology|0|high|casuistry of foreseen but unintended misleading in Plato's Republic
r28c3|III.3|Loughran|||0|med|topic label opening the compatibilism row
r28c4|III.3|Loughran|||0|med|autobiographical note on having been a libertarian about free will
r28c5|III.3|Loughran|||0|high|thesis that a compatibilist lens serves rational inquiry and natural law
r28c6|III.3|Loughran|||0|med|compatibilism grounds a realist hope for rational inquiry
r28c7|III.3|Loughran|||0|low|unfinished parallel clause on compatibilism's payoff for natural law
r28c8|III.3|Loughran|Aquinas|theology|0|med|compatibilism makes sense of Aquinas on predestination and the will
r29c3|III.4|Loughran|||0|med|topic label integral human development
r29c5|III.4|Loughran|||0|high|love confers being subject to the capacity of what is loved
r29c6|III.4|Loughran|||0|med|being unfolds in time so conferring being requires development
r29c7|III.4|Loughran|||0|high|integral human development as the way love unfolds toward persons
r29c8|III.4|Loughran|||0|med|capacities are relational and negotiated not ours to dictate
r29c9|III.2.N|Loughran||biology|1|med|to-do find biologist allowing empirical Lamarckian evolution
r30c3|III.2.S|Loughran||physics|0|med|topic label pairing music with quantum entanglement
r30c4|III.2.S|Loughran|||0|low|exploring while connected to the unseen and unseeable
r30c6|II.4|Loughran|Jura Margulis||0|med|bare name pointer to the pianist
r30c8|III.2.S|Loughran||physics|0|med|entanglement with stable tendencies emerging
r30c9|III.2.S|Loughran||physics|0|med|creativity within the bounds of being via entanglement and tunneling
r31c3|III.2.S|Loughran||physics|0|med|quantum tunneling as analogy and maybe more than analogy
r31c4|Z|Loughran|||0|low|truncated clause with no placeable content
r32c3|III.2.I|Loughran||computer science|0|low|bare topic label artificial intelligence
r32c4|III.3|Loughran|MacIntyre|psychology|0|high|thesis that ends are not psychological states
r32c5|III.3|MacIntyre|MacIntyre|philosophy|0|high|QUOTED IDM p50 on the finality of ends and incoherent moral teleology
r32c7|III.3|Loughran|||0|med|asks what grounds worth and answers that love is the metaphysical foundation
r32c10|III.3|Loughran|MacIntyre|psychology|0|med|reread of M on ends as a problem for pCRm where all is psychological state
r32c11|III.3|Loughran|MacIntyre|psychology|0|high|counterfactuals about added information give ends their normative remove
r32c12|III.3|Loughran|Aristotle;MacIntyre|sociology;psychology|0|high|ends can align with the states of well-formed informed members of communities
r32c14|III.3|Loughran|||0|med|reductio that optimally informed persons would deviate from rival standards
r33c3|III.2.I|Loughran||biology|0|low|bare topic label genetic engineering
r33c5|III.3|Loughran|MacIntyre||1|med|ends can also be deliberated about - blank IDM page ref left to fill
r33c6|III.3|Loughran|||1|med|to-do use the swapping expected psychological outcomes thought experiment
r33c7|I.2.3|Loughran|MacIntyre||0|high|choosing to love little leaves one open to transformative inhabitation
r34c3|III.4|Loughran|||0|med|love stated as an empirical claim about what you will actually choose
r34c4|I.3.2|Loughran|||0|med|we should learn to make the love claim provably - the craft of loving well
