r459c4|I.4.3|Rohr?|Rohr|sociology;history|0|med|quoted RR meditation on order and containers as the first stage of formation
r459c6|I.4.3|Loughran|Rohr|sociology|0|high|reads the preceding as a socially-enriched filter on information flow
r460c3|II.4|apparatus|Rohr||0|high|bare source pointer to a Richard Rohr daily meditation URL
r460c4|I.4.3|Rohr|Rohr|theology|0|med|quoted RR on law as information and education inside the container
r460c6|I.4.3|Loughran|Rohr|sociology|0|high|notes information and agon dimensions of the lens rich communities produce
r460c7|I.2.3|Rohr|Rohr|theology|0|med|quoted RR on universal stories yielding solid ground and common ground
r460c8|I.2.3|Loughran|Rohr||0|high|instrumentalist account of what makes ground solid and possibly common
r460c9|I.2.3|Loughran|Rohr|sociology|0|high|two senses of universal: lowest common denominator vs recognized by mature members
r461c3|III.4|Loughran|Aristotle|computer science;philosophy|0|high|love as active favor toward another active favor given a computational reading
r461c7|III.4|Loughran||computer science|0|high|continues the computational reading of love as a low-potential-energy perspective
r462c3|II.4|apparatus|Bruenig||0|high|NYT source pointer for a Bruenig column dated the ACB nomination announcement
r462c4|I.1|Elizabeth Bruenig||philosophy;history|0|med|quoted claim that the US is founded on liberalism as its national philosophy
r463c3|X.2|apparatus|||0|high|four-word in-sheet label heading the next cell
r463c4|I.3.3|Loughran|||1|med|to-do pull hearing analysis of masked flows of funds in judicial formation
r464c3|X.2|apparatus|||0|high|three-word in-sheet topic label
r464c4|III.2.SO|Loughran||economics;sociology;psychology|0|high|shareholder-only capitalism rejected as a legitimate social organizing principle
r465c3|X.2|apparatus|||0|high|three-word in-sheet topic label
r466c3|III.1|Loughran|||0|med|frames the question of what work the conscious realist model actually does
r466c4|III.1|Loughran|||0|med|CR as the minimal example filling the hole left by the HIFNRC promise
r466c5|III.1|Loughran|Hoffman;Wolfram;Tegmark|biology;computer science|0|high|argues lens 1 entails conscious realist monism and that CRm resolves four problem sets
r466c8|I.2.2|Loughran|MacIntyre;Kuhn;Hoffman|philosophy;sociology;history|0|high|Kuhn vs MacIntyre on whether retrospective repair of crises is progress toward truth
r466c12|III.1.3|Loughran||philosophy;psychology|0|high|reductio against the correspondence theory from a Cs-independent reality
r467c3|III.1|Loughran||theology|1|med|to-do work out CRm against Catholic orthodoxy and orthopraxy
r468c3|II.4|apparatus|McFadden|neuroscience|0|high|source pointer for CEMI electromagnetic theories of consciousness
r468c4|III.1.1|UNKNOWN-quotation?|McFadden|neuroscience|0|med|encyclopedia statement of the CEMI field theory at full strength
r468c5|III.2.N|Loughran|Hawkins;McFadden|physics;neuroscience;computer science|0|high|asks whether the EM field integrates votes from cortical columns into agency
r468c7|III.1.1|Loughran|McFadden|physics;neuroscience|0|high|CEMI is another physicalist account leaving the hard problem untouched
r468c8|III.1.1|Graziano|Graziano|neuroscience|0|med|quoted Graziano calling oscillation accounts of consciousness phlegm theories
r468c10|III.1.1|Loughran|Hoffman;McFadden|physics;biology;neuroscience|0|high|CEMI inherits physicalism hard problem and the DH evolutionary challenge
r469c3|III.4|Loughran||theology|0|med|heads a numbered list of spiritual experiences to share with his daughter
r469c4|III.4|Loughran|||0|med|item 1 in the list of spiritual experiences to share
r469c5|III.4|Loughran|||0|med|item 2 in the list of spiritual experiences to share
r469c6|III.4|Loughran|||0|med|item 3 in the list of spiritual experiences to share
r469c7|III.4|Loughran|||0|med|item 4 in the list of spiritual experiences to share
r469c8|III.4|Loughran|||0|med|item 5 in the list of spiritual experiences to share
