r261c3|X.2|apparatus|||0|med|lead-in fragment heading the blind-spot cells
r261c4|I.1|Loughran||sociology|0|high|diagnosis: thin communities and no craft of social information processing
r261c5|I.1|Loughran||sociology;philosophy|0|high|diagnosis: a disciplinary fractured world with no wholes to assess
r262c3|II.4|Loughran|McCorduck;Fridman|computer science|0|high|source pointer to a McCorduck AI podcast
r262c4|II.4|Loughran|McCorduck|computer science|1|med|book title plus a blank surname to fill in
r262c5|II.2|Loughran|Minsky;McCarthy;Simon;Newell|computer science|1|med|the four AI founders at Dartmouth plus a source to check
r262c6|II.2|Loughran|Simon;Newell|computer science|0|med|standing of Simon and Newell as cognitive scientists
r262c7|III.2.I|Loughran||computer science|0|med|algorithmic approach won and symbolic approach was dropped
r263c3|II.2|Loughran|Hinton|computer science|0|med|Hinton's 1986 ML algorithm as his contribution
r263c4|II.4|Loughran|Feigenbaum|computer science|1|med|source pointer to Feigenbaum and expert systems work
r263c5|III.2.P|Loughran|McCorduck|neuroscience;psychology|0|low|claim that fear of AI is a male-brained reaction
r263c6|III.2.I|Loughran|McCorduck|computer science|0|med|AI as a paradigm of alternative instances of intelligence
r264c3|II.4|Loughran|Friedman|economics|0|high|source pointer: Friedman's three accelerations
r264c4|I.1|Loughran|Friedman||0|med|hockey-stick climate change as one acceleration
r264c5|I.1|Loughran|Friedman|computer science|0|med|Moore's law growth rate as one acceleration
r264c6|I.1|Loughran|Friedman|sociology|0|med|the three accelerations reshape politics work ethics community
r264c7|I.1|Loughran|Friedman|computer science;economics|0|high|2007 supernova list as the diagnostic inflection point
r264c9|I.4.3|Loughran|||0|low|Hourglass Foundation named as a local rebuilding body
r264c10|I.4.3|Loughran||sociology|0|med|rich coalition rebuilding Lancaster as a community case
r264c11|I.4.3|Loughran||sociology|0|med|complex adaptive coalition as what works in community repair
r264c12|I.4.3|Loughran||sociology|0|low|leaders without authority as a community leadership form
r264c13|I.1|Loughran||computer science|0|low|5G named as a major acceleration
r265c3|II.4|Loughran|Simard|biology|0|high|source pointer to Simard TED talk on trees
r265c4|II.4|Loughran|Simard|biology|0|low|locale detail of the Simard talk
r265c5|III.2.C|Loughran|Simard|biology|0|med|mycorrhizal networks as non-human communal communication
r266c3|II.4|Loughran|Metzinger|theology;philosophy|0|high|source pointer to Metzinger on spirituality and honesty
r267c3|II.4|Loughran|Annaka Harris;Sam Harris||0|high|source pointer to Annaka Harris podcast
r267c4|III.3|Loughran|Annaka Harris|neuroscience;philosophy|0|med|illusionist claim that self and free will are illusions
r267c5|III.2.N|Loughran||neuroscience|0|high|split-brain and conjoined-twin evidence for separate persons
r267c6|III.2.N|Loughran||neuroscience|0|high|the interpreter effect in a disconnected hemisphere
r267c7|III.1.1|Loughran||philosophy|0|med|the combination problem as the standing objection to panpsychism
r267c8|III.2.P|Loughran||psychology|0|med|curiosity rather than resistance as an antidote to pain
r268c3|II.4|Loughran|Rovelli|physics|0|high|source pointer to Rovelli The Order of Time
r268c4|III.2.S|Loughran|Rovelli|physics;philosophy|0|high|eternalism versus presentism with Rovelli rejecting both
r268c5|II.4|Loughran|Annaka Harris||0|low|bare source pointer to Annaka Harris
r269c3|II.4|Loughran|Hoffman||0|high|source pointer to Hoffman The Case Against Reality
r270c3|II.4|Loughran|Jack Ma;Musk|computer science|0|high|source pointer to the Ma-Musk Shanghai AI exchange
r270c4|III.2.I|Jack Ma|Jack Ma|computer science|0|low|Ma: AI work requires better self-understanding
r270c5|III.2.SO|Jack Ma|Jack Ma|economics;biology|0|med|Ma: tech makes new jobs and a shorter working week
r270c6|III.2.SO|Jack Ma|Jack Ma|economics|0|med|Ma: longer lifespans and fewer jobs improve quality of life
r270c7|III.2.SO|Elon Musk|Musk|neuroscience;computer science|0|med|Musk: AI makes jobs pointless and a brain-AI interface is needed
r270c8|III.2.SO|Jack Ma|Jack Ma|computer science|0|med|Ma: education must shift to creativity rather than memory
r270c10|III.2.SO|Jack Ma|Jack Ma||0|med|Ma: wisdom comes from the heart and needs a new education system
r270c11|III.1.2|Elon Musk|Musk|computer science|0|med|Musk: learning as closing the loop on predicting the future
r270c12|III.2.SO|Jack Ma|Jack Ma|computer science|0|low|Ma: our mistakes not AI's will cause the damage
r270c13|III.2.I|Jack Ma+Elon Musk|Jack Ma;Musk|biology;computer science|0|med|dispute over whether we can build something smarter than us
r270c14|III.2.I|UNKNOWN-panelist?||computer science|0|med|chess and Go as the shrinking human advantage over machines
r270c15|III.2.I|Jack Ma+Elon Musk|Jack Ma;Musk|computer science;philosophy|0|med|clever versus wise and degrees of freedom in reality
r270c17|III.2.SO|Elon Musk|Musk;Jack Ma|sociology|0|med|population collapse named as the biggest threat
r270c18|III.4|Jack Ma|Jack Ma|computer science|0|med|Ma: love is where humans do better and LQ is needed
r271c3|I.1|Loughran|||0|med|heading note on setting the project's diagnostic context
r271c4|I.1|Loughran||sociology;economics|0|high|fractured social order and lost social capital
r271c5|I.1|Loughran||computer science|0|high|information deluge and the rise of the internet
r271c6|I.1|Loughran||computer science|0|high|AI rising unbridled unguided and unequally distributed
r271c7|I.1|Loughran|||1|med|instruction to connect the strands: fractured because overwhelmed
r272c3|III.4|Loughran||theology;computer science|0|med|being embodied and lovingly connected as members of a whole in Christ
r272c4|III.2.C|Loughran||theology;sociology;computer science|0|med|embodied social computation as God's own computation
r272c5|III.1|Loughran||neuroscience;sociology|0|high|single whole awareness and complementary limited perspectives
r272c9|III.1|Loughran||chemistry;neuroscience|0|med|transcending limits toward a unified cosmic awareness
r272c11|III.1|Loughran||theology|0|med|suffering and resurrection united in one conscious being's experience
r272c12|III.4|Loughran||theology|0|high|friendship as taking on other selves and binding us into one body
r272c13|III.3|Loughran|||0|med|free later choices determine the meaning of the past
r273c3|X.2|apparatus||computer science|0|high|label heading the CNLP goals cell
r273c4|I.4|Loughran||sociology;philosophy|0|med|project aim: recast the A/T tradition to refound civil society
r273c5|I.4.1|Loughran||sociology;computer science|0|high|delivery architecture: book podcast Co-Labs forum journal backbone
r274c3|X.2|apparatus|||0|high|in-sheet label for a CNLP metrics slot
r275c3|I.4.1|Loughran|||0|med|list of CNLP means of encounter
r276c3|I.4|Loughran|||1|low|self-directive on scope and simplicity for the project
r277c3|X.2|apparatus||economics|0|high|in-sheet label for a CNLP business model slot
r278c3|X.2|apparatus|||0|med|in-sheet label for a CNLP collaborator pool slot
r279c3|III.2.SO|Loughran||sociology|0|med|India study: informed voters make better choices
r280c3|III.2.SO|Loughran||sociology|0|med|2007 study: more available information does not better inform voters
r281c3|III.2.SO|Loughran||sociology|0|med|2014 study: internet users feel better informed
r282c3|X.2|apparatus|||0|high|label heading the allegory that follows
r282c4|I.2.1|Loughran||sociology|0|med|allegory: tribes large enough to hold their own answers and solutions
r282c6|I.2.3|Loughran||sociology|0|high|allegory: tribes meet and exchange is slow because questions differ
r283c3|II.4|Loughran|Carroll|physics|0|high|source pointer to Carroll Mindscape on gravity within QM
r283c4|I.2.2|Loughran|Carroll|physics;philosophy|0|med|physics advances by blending a new idea in: frontier dialectical reasoning
r283c5|I.2.2|Loughran||philosophy;sociology|1|med|plan to apply frontier dialectical reasoning to theory-of-the-whole building
r284c3|I.2.3|Loughran|||0|high|listening means applying the other's filter on the other's own terms
r284c4|I.2.3|Loughran|||0|high|taking an account without replicating the rival's model is incomplete
r285c3|III.1.2|Loughran|||0|med|proposes an existence matrix plus a change filter for all interaction
r285c4|III.1.2|Loughran|||0|med|asks whether observation is theory-laden through the change matrix
r285c5|III.1.2|Loughran|||0|med|terminology proposal: existence matrixes and change matrixes
r285c6|III.1.2|Loughran|||0|med|facts as pushed through a given filter
r286c3|III.2.0|Loughran||neuroscience|0|med|consciousness underlies information processing: the A-to-I ordering
r286c4|III.2.X|Loughran||biology;computer science;sociology|0|high|demands an account of information processing at every level
r286c6|III.1.1|Loughran|Chalmers|physics;philosophy|0|high|dissolves the hard problem: physical existence is shared subjective experience
r286c8|III.1|Loughran|Wright|theology|0|med|original consciousness sets laws and conditions in order to share awareness
r286c10|III.1.1|Loughran||neuroscience;computer science|0|high|numbered advantages of the original-consciousness approach over rivals
r288c3|III.2.S|Loughran||physics|0|med|three QM features reread inside an original-consciousness account
r288c4|III.1.1|Loughran||physics;philosophy;theology|0|high|the objection that this denies reality and the replies to it
r288c9|III.2.N|Loughran||neuroscience|0|high|shared neural control of one limb across separate brains
r289c3|II.4|Loughran|Chollet;Fridman|computer science|0|high|source pointer to Chollet on Fridman's podcast
r289c4|III.2.I|Loughran|Chollet||0|med|intelligence-likeness as a vector of direction and magnitude
r289c5|III.2.I|Loughran|Chollet||0|med|Chollet's definition: efficiency turning experience into general programs
r289c6|III.2.I|Loughran|Chollet|psychology|0|med|intelligence is always specialized to an experience base and its priors
r289c7|III.2.N|Chollet+Fridman|Chollet;Fridman|biology|0|med|human priors encoded slowly by evolution through low-bandwidth DNA
r290c3|II.4|Loughran|Hinton|computer science|0|high|source pointer to Hinton on the foundations of deep learning
r290c4|III.2.N|Loughran|Hinton|neuroscience;computer science|1|med|a thought as an activity pattern in neurons or artificial units
r291c3|III.2.0|Loughran||physics|0|med|announces an outline of the hierarchy from simplicity to complexity
r291c4|X.2|apparatus|||0|high|table header: level
r291c5|X.2|apparatus|||0|high|table header: features 1
r291c6|X.2|apparatus|||0|high|table header: features 2
r292c4|III.2.A|Loughran||theology|0|med|top of the ladder: original loving consciousness and its end
r292c5|III.2.A|Loughran||theology|0|med|features of the awareness level: reflection love full actuality
